#,Product,Actual Price,Final Price (+30%)
34,**Cursor AI Pro** Subscription 1 Month — Private Account (Global),\$24.00 USD,**\$31.20 USD**
35,**Cursor AI Pro** Subscription 1 Month — Private Account (Global),\$23.83 USD,**\$30.98 USD**
36,**Cursor AI Pro+ Plan** Subscription 1 Month — Private Account (Global),\$335.98 USD,**\$436.77 USD**
37,**Cursor AI Ultra Plan** Subscription 1 Month — Private Account (Global),\$822.80 USD,"**\$1,069.64 USD**"
38,**Claude Pro** Subscription 1 Month — Shared Account (Global),\$5.85 USD,**\$7.61 USD**
39,**Claude Pro** Subscription 1 Month — Shared Account (Global),\$9.99 USD,**\$12.99 USD**
40,**Claude Pro** Subscription 1 Month — Private Account (Global),\$120.90 USD,**\$157.17 USD**
41,**Claude Pro** Subscription 1 Month — Private Account (Global),\$157.63 USD,**\$204.92 USD**
42,**Grok SuperGrok** Subscription 1 Month — Private Account (Global),\$7.50 USD,**\$9.75 USD**
43,**Grok SuperGrok** Subscription 1 Month — Private Account (Global),\$17.99 USD,**\$23.39 USD**
44,**Grok SuperGrok** Subscription 1 Month — Private Account (Global),\$21.00 USD,**\$27.30 USD**
45,**Grok SuperGrok** Subscription 1 Month — Private Account (Global),\$27.99 USD,**\$36.39 USD**
46,**Lovable AI Pro** Subscription 1 Month — Private Account (Global),\$6.86 USD,**\$8.92 USD**
47,**Leonardo AI** 1 Month Account,—,—
48,**HeyGen Team Plan** Subscription 1 Month — Shared Account (Global),—,—
49,**OpenArt AI Wonder** Subscription 1 Month — Private Account (Global),—,—
50,**Replit Core** Subscription 1 Month — Private Account (Global),—,—
